pulsar,jname,glitch_no,mjd,df_f,df_f_err,df1_f1,df1_f1_err,reference
J1841-0524,1841-0524,1,53562.0,29.0,1.0,1.0,1.0,Espinoza+2011 [ elsk11 ]
J1841-0524,1841-0524,2,54012.9,25.0,2.0,2.0,1.0,"Espinoza+2011 [ elsk11 ], also in Yu+2012 [ ymh+12 ]"
J1841-0524,1841-0524,3,54503.0,1032.0,1.0,0.7,0.3,"Espinoza+2011 [ elsk11 ], also in Weltevrede+2010 [ wjm+10 ], Yu+2012 [ ymh+12 ]"
J1841-0524,1841-0524,4,55525.0,804.9,0.4,0.8,0.1,Basu+2021 [ bsa+21 ]; also in Lower+2021 [ ljd+21 ]
J1841-0524,1841-0524,5,56564.6,21.6,0.4,,,Basu+2021 [ bsa+21 ]; also in Lower+2021 [ ljd+21 ]
J1841-0524,1841-0524,6,57101.53,1011.6,0.5,1.01,0.09,New - Our measurement
J1841-0524,1841-0524,7,58738.6,130.4,0.7,0.6,0.2,New - Our measurement
J1841-0524,1841-0524,8,59111.6,128.0,1.0,0.1,0.2,New - Our measurement
1E_1841-045,1841-0456,1,52464.0,15170.0,82.0,96.0,1.0,Based on Table 8 in Dib+2008 [ dkg08 ]
1E_1841-045,1841-0456,2,52997.05,2450.0,47.0,-1.0,1.0,Based on Table 8 in Dib+2008 [ dkg08 ]
1E_1841-045,1841-0456,3,53823.97,1390.0,82.0,-7.0,3.0,Based on Table 8 in Dib+2008 [ dkg08 ]
B1841-04,1844-0433,1,49358.0,0.22,0.01,-0.03,0.02,Basu+2021 [ bsa+21 ]
J1841-0157,1841-0157,1,56923.6,33.3,0.4,,,Basu+2021 [ bsa+21 ]
J1842+0257,1842+0257,1,57112.0,12060.9,0.2,1.0,0.3,Basu+2021 [ bsa+21 ]
J1843-0509,1843-0509,1,59269.0,10.82,0.06,1.95,0.12,New - Our measurement
J1844-0310,1844-0310,1,54410.0,1.8,0.2,-0.5,0.2,New - Our measurement
J1844+00,1844+00,1,51435.0,0.3,0.1,1.0,2.0,Espinoza+2011 [ elsk11 ]
J1844+00,1844+00,2,51722.5,5.2,0.1,4.0,3.0,Espinoza+2011 [ elsk11 ]
J1844+00,1844+00,3,56784.0,249.55,0.03,4.1,0.7,Basu+2021 [ bsa+21 ]
