obsid,name,mjd_start,exposure_s
3020180441,PSR_B0833-45,59129.3261574074,0.0
3020180442,PSR_B0833-45,59159.6074074074,92.0
3020180443,PSR_B0833-45,59161.2186111111,386.0
3020180444,PSR_B0833-45,59162.0571643518,1035.0
3020180445,PSR_B0833-45,59165.7321759259,823.0
3020180446,PSR_B0833-45,59165.9914351852,5842.0
3020180447,PSR_B0833-45,59167.218287037,1469.0
3020180448,PSR_B0833-45,59168.0618055556,3386.0
3020180449,PSR_B0833-45,59184.7032291667,2824.0
3020180450,PSR_B0833-45,59185.0312152778,664.0
3020180451,PSR_B0833-45,59186.0118055556,888.0
3020180452,PSR_B0833-45,59187.4277546296,1278.0
3020180453,PSR_B0833-45,59188.1425925926,788.0
3020180454,PSR_B0833-45,59190.2131944444,360.0
3020180455,PSR_B0833-45,59191.1157407407,333.0
3020180456,PSR_B0833-45,59192.9814814815,389.0
3020180457,PSR_B0833-45,59206.9759259259,0.0
3020180458,PSR_B0833-45,59207.1696759259,1578.0
3020180459,PSR_B0833-45,59208.0069444444,620.0
3020180460,PSR_B0833-45,59209.2358796296,2843.0
3020180461,PSR_B0833-45,59210.9784722222,0.0
3020180462,PSR_B0833-45,59212.0756944444,423.0
3020180463,PSR_B0833-45,59245.2904976852,2987.0
3020180464,PSR_B0833-45,59246.0039351852,641.0
3020180465,PSR_B0833-45,59267.0874074074,788.0
4020180401,PSR_B0833-45,59313.593287037,1837.0
4020180402,PSR_B0833-45,59314.0449074074,3554.0
4020180403,PSR_B0833-45,59315.0141203704,2818.0
4020180404,PSR_B0833-45,59316.0474537037,1119.0
4020180405,PSR_B0833-45,59317.9835648148,255.0
4020180406,PSR_B0833-45,59318.2428240741,309.0
4020180407,PSR_B0833-45,59319.8555555556,150.0
4020180408,PSR_B0833-45,59320.1136574074,194.0
4020180409,PSR_B0833-45,59330.3774421296,0.0
4020180410,PSR_B0833-45,59334.0099537037,192.0
4020180411,PSR_B0833-45,59356.3465277778,197.0
4020180412,PSR_B0833-45,59357.1027777778,704.0
4020180413,PSR_B0833-45,59358.0030092593,340.0
4020180414,PSR_B0833-45,59362.3284722222,187.0
4020180415,PSR_B0833-45,59363.941400463,0.0
4020180416,PSR_B0833-45,59366.5259259259,0.0
4020180417,PSR_B0833-45,59368.1407407407,3.0
4020180418,PSR_B0833-45,59390.3034606481,983.0
4020180419,PSR_B0833-45,59391.087037037,320.0
4020180420,PSR_B0833-45,59392.3777777778,879.0
4020180421,PSR_B0833-45,59393.1436921296,4303.0
4020180422,PSR_B0833-45,59397.6616782407,1864.0
4020180423,PSR_B0833-45,59398.0509027778,3452.0
4020180424,PSR_B0833-45,59400.1784722222,1962.0
4020180425,PSR_B0833-45,59401.5344907407,139.0
4020180426,PSR_B0833-45,59402.375,402.0
4020180427,PSR_B0833-45,59415.0476851852,0.0
4020180429,PSR_B0833-45,59424.606712963,259.0
4020180430,PSR_B0833-45,59425.8122685185,282.0
4020180431,PSR_B0833-45,59426.5256944444,584.0
4020180432,PSR_B0833-45,59429.4356481481,1303.0
4020180433,PSR_B0833-45,59449.85625,481.0
4020180434,PSR_B0833-45,59450.05,4363.0
4020180435,PSR_B0833-45,59451.0173726852,3282.0
4020180436,PSR_B0833-45,59455.0833333333,2406.0
4020180437,PSR_B0833-45,59456.5030092593,800.0
4020180438,PSR_B0833-45,59458.4386574074,1605.0
4020180439,PSR_B0833-45,59467.7996759259,573.0
4020180440,PSR_B0833-45,59468.0581018518,2207.0
4020180441,PSR_B0833-45,59470.0574074074,3028.0
4020180442,PSR_B0833-45,59471.0268518518,1649.0
4020180443,PSR_B0833-45,59472.2549421296,1891.0
4020180444,PSR_B0833-45,59475.3520717593,332.0
4020180445,PSR_B0833-45,59475.9974652778,8950.0
4020180446,PSR_B0833-45,59481.2483796296,608.0
4020180447,PSR_B0833-45,59487.3814930556,0.0
4020180448,PSR_B0833-45,59494.0939930556,729.0
4020180449,PSR_B0833-45,59499.0465277778,0.0
4020180450,PSR_B0833-45,59505.837037037,2605.0
4020180451,PSR_B0833-45,59506.0305555556,1881.0
4020180452,PSR_B0833-45,59524.519849537,2655.0
4020180453,PSR_B0833-45,59525.099537037,1670.0
4020180454,PSR_B0833-45,59526.3906828704,1915.0
4020180455,PSR_B0833-45,59527.100462963,5292.0
4020180456,PSR_B0833-45,59528.2606481481,1669.0
4020180457,PSR_B0833-45,59548.0916666667,354.0
4020180458,PSR_B0833-45,59549.6488425926,181.0
4020180459,PSR_B0833-45,59550.0319444444,531.0
4020180460,PSR_B0833-45,59551.0627314815,1423.0
4020180461,PSR_B0833-45,59552.0300810185,3271.0
4020180462,PSR_B0833-45,59553.1270486111,1810.0
4020180463,PSR_B0833-45,59555.3949074074,56.0
4020180464,PSR_B0833-45,59557.5152777778,363.0
4020180465,PSR_B0833-45,59562.7956018519,361.0
4020180466,PSR_B0833-45,59573.1270833333,245.0
4020180467,PSR_B0833-45,59574.0300925926,1214.0
4020180468,PSR_B0833-45,59609.3662037037,0.0
4020180469,PSR_B0833-45,59622.5842592593,1166.0
4020180470,PSR_B0833-45,59627.3,392.0
5020180401,PSR_B0833-45,59677.319212963,357.0
5020180402,PSR_B0833-45,59681.9548611111,436.0
5020180403,PSR_B0833-45,59682.01875,4258.0
5020180404,PSR_B0833-45,59690.2771875,0.0
5020180405,PSR_B0833-45,59691.2409722222,0.0
5020180406,PSR_B0833-45,59692.7265277778,0.0
5020180407,PSR_B0833-45,59693.0493055556,557.0
5020180408,PSR_B0833-45,59694.0173611111,1198.0
5020180409,PSR_B0833-45,59697.048587963,728.0
5020180410,PSR_B0833-45,59703.7574074074,0.0
5020180411,PSR_B0833-45,59704.0803240741,1599.0
5020180412,PSR_B0833-45,59714.4203703704,338.0
5020180413,PSR_B0833-45,59724.4069444444,57.0
5020180414,PSR_B0833-45,59725.0523148148,560.0
5020180415,PSR_B0833-45,59726.9908912037,4443.0
5020180416,PSR_B0833-45,59729.9627546296,208.0
5020180417,PSR_B0833-45,59753.4618287037,0.0
5020180418,PSR_B0833-45,59754.8164814815,363.0
5020180419,PSR_B0833-45,59755.3974537037,267.0
5020180420,PSR_B0833-45,59757.7193287037,513.0
5020180421,PSR_B0833-45,59759.3323148148,4668.0
5020180422,PSR_B0833-45,59760.0381944444,1951.07802268863
5020180423,PSR_B0833-45,59764.4944097222,1995.0
5020180424,PSR_B0833-45,59765.2052893518,775.0
5020180425,PSR_B0833-45,59779.137037037,248.0
5020180426,PSR_B0833-45,59780.042349537,49.0
5020180427,PSR_B0833-45,59783.9773148148,58.0
5020180428,PSR_B0833-45,59784.0418981481,455.0
5020180429,PSR_B0833-45,59785.9768518519,147.0
5020180430,PSR_B0833-45,59786.2393171296,480.0
