burst_id,mjd_topo,snr
B00898,60375.18521882,390.7
B00900,60375.1853047,24
B00902,60375.18544109,57.5
B00903,60375.18559994,316.5
B00905,60375.1856195,26.1
B00908,60375.18582103,23.3
B00909,60375.18592472,37
B00911,60375.18616855,99.5
B00912,60375.18617538,48.6
B00914,60375.18629519,24.2
B00915,60375.18645053,505.6
B00916,60375.18651274,72.2
B00919,60375.18667808,28.8
B00921,60375.18713,69.8
B00922,60375.18714308,530
B00925,60375.18716881,28
B00927,60375.18790515,27
B00932,60375.18851524,43.7
B00933,60375.18857985,75.2
B00934,60375.18872315,32.3
B00935,60375.18880657,56.1
B00936,60375.18881606,62.7
B00937,60375.18884114,74.6
B00939,60375.1890497,148.4
B00940,60375.18911928,31.7
B00941,60375.18930214,36.5
B00943,60375.18941815,18.8
B00944,60375.18943075,64.6
B00947,60375.18945476,38.7
B00948,60375.18948917,28.2
B00950,60375.18951232,104.2
B00951,60375.1897657,35.6
B00952,60375.18976587,281.1
B00953,60375.18979748,123.4
B00954,60375.18979776,306.5
B00955,60375.18994329,31.1
B00956,60375.18994987,36.4
B00957,60375.19036023,186.9
B00962,60375.19065072,108.7
B00963,60375.19066861,196.7
B00966,60375.19079504,20.3
B00968,60375.19108747,91.5
B00970,60375.19158609,94.8
B00971,60375.1917469,553.6
B00972,60375.19180286,25.4
B00974,60375.19191483,33
B00975,60375.19191532,310.5
B00979,60375.1923645,29.7
B00980,60375.19263194,27.3
B00982,60375.19272225,152.6
B00983,60375.19278291,83.6
B00985,60375.19285407,655.4
B00986,60375.19287365,108.1
B00987,60375.19294242,72.9
B00989,60375.1932164,858.5
B00993,60375.19328626,25.8
B00995,60375.19332632,124.8
B00996,60375.19346272,41.2
B00998,60375.19392059,165.1
B00999,60375.19395301,25.7
B01001,60375.1942801,77.3
B01002,60375.19439956,37.2
B01003,60375.19443116,22.8
B01004,60375.19453352,31.8
B01005,60375.19453768,44.9
B01010,60375.19536318,88.8
B01012,60375.19542858,49.5
B01015,60375.19560471,299.8
B01017,60375.1957818,154.6
B01018,60375.19588376,25
B01021,60375.19627121,23.6
B01023,60375.1963189,242.3
B01026,60375.19651322,37.2
B01027,60375.19673733,143.9
B01030,60375.19673858,15.8
B01031,60375.19673869,87.1
B01037,60375.19718873,46.1
B01038,60375.19721136,160.3
B01040,60375.1975627,64.7
B01041,60375.19757642,48.9
B01042,60375.19757669,721.6
B01044,60375.19776311,24.5
B01045,60375.19784383,30.4
B01047,60375.19831784,22.8
B01048,60375.19831802,130
B01049,60375.19831814,207.9
B01050,60375.19831827,805.7
B01051,60375.1984756,79.3
B01052,60375.19847608,110.6
B01053,60375.19855364,89.1
B01054,60375.1990266,178.3
