repeater_name,tns_name,mjd_400,fluence_jyms,excluded_flag
FRB20180916B,FRB20200614A,59014.68532464922,7.16655841213218,0
FRB20191106C,FRB20200617C,59017.15093325225,2.0314698952778003,0
FRB20200619A,FRB20200619A,59019.340465908004,0.41303474095190384,0
FRB20180910A,FRB20200621D,59021.04801042168,12.122897558496913,0
FRB20181119A,FRB20200621C,59021.11044438197,2.423995236071141,0
FRB20200619A,FRB20200621A,59021.34154931058,1.7987027131814133,0
FRB20190303A,FRB20200622A,59022.16102471136,1.0118722696218594,0
FRB20190905A,FRB20200628A,59028.95922907383,2.339751300039433,0
FRB20190804E,FRB20200629C,59029.28288618111,2.536153806555354,0
FRB20200118D,FRB20200701A,59031.84983133962,3.024624824020382,0
FRB20200223B,FRB20200702C,59032.57511150838,9.553878418480002,0
FRB20180916B,FRB20200702B,59032.642852563564,6.650977084520076,0
FRB20200308B,FRB20200707A,59037.29391134597,8.860788947848276,0
FRB20190804E,FRB20200709C,59039.257220943095,1.8887386593507605,0
FRB20180916B,FRB20200717D,59047.58180964073,2.854441467282147,0
FRB20180916B,FRB20200717C,59047.587637013676,1.5934625394473896,0
FRB20200120E,FRB20200718A,59048.925369000186,nan,0
FRB20190212A,FRB20200724A,59054.282388374035,0.10887923971832338,0
FRB20190212A,FRB20200725B,59055.2353699617,0.38645513464683473,0
FRB20190417A,FRB20200726D,59056.306740717184,6.452023707235568,0
FRB20190907A,FRB20200729A,59059.82089965246,6.946544859231133,0
FRB20171019A,FRB20200801C,59062.40088700511,15.933509453111764,0
FRB20180916B,FRB20200801A,59062.56077990182,1.3183324768870903,0
FRB20190303A,FRB20200809G,59070.02806263156,4.0664588816325375,0
FRB20200809E,FRB20200809E,59070.492372114386,2.0113488766213456,0
FRB20190609C,FRB20200814G,59075.48708248723,2.4994000910187983,0
FRB20200420A,FRB20200820A,59081.4416770684,22.375335696266202,1
FRB20200223B,FRB20200821B,59082.440396434824,1.3135360341135311,1
FRB20190303A,FRB20200829A,59090.971734901395,nan,0
FRB20180916B,FRB20200903B,59095.46565415278,3.0193957254857535,0
FRB20180814A,FRB20200903A,59095.55594194084,3.197595248238644,0
FRB20180916B,FRB20200904B,59096.45281275038,3.787225492716119,0
FRB20200905B,FRB20200905B,59097.30885278359,7.642783911738585,0
