mjd,mag,magerr,band
58714.274965,19.2377,0.0580,zr
58714.294213,19.4216,0.0666,zr
58714.294664,19.2684,0.0594,zr
58714.331053,19.2991,0.0607,zr
58714.331505,19.3920,0.0651,zr
58714.395718,19.3317,0.0618,zr
58714.396169,19.4115,0.0656,zr
58715.368299,19.2667,0.0593,zr
58715.411146,19.3148,0.0610,zr
58715.411597,19.3008,0.0604,zr
58716.405475,19.3060,0.0606,zr
58716.405926,19.3425,0.0623,zr
58717.322245,19.2867,0.0602,zr
58717.384676,20.1289,0.0960,zg
58717.435046,20.1734,0.1285,zg
58717.435498,20.2402,0.1341,zg
58718.437616,20.1340,0.1252,zg
58719.333414,19.2627,0.0591,zr
58719.390671,19.2964,0.0602,zr
58719.391111,19.2737,0.0592,zr
58722.318368,19.3663,0.0639,zr
58722.407535,20.0858,0.0929,zg
58723.379363,19.3706,0.0641,zr
58723.404954,20.0870,0.0930,zg
58723.423229,20.0834,0.1211,zg
58723.423681,20.1621,0.1275,zg
58725.322349,20.1782,0.0996,zg
58725.425764,20.1669,0.1279,zg
58725.426215,19.9725,0.1123,zg
58726.318403,19.3314,0.0618,zr
58726.318854,19.3399,0.0622,zr
58726.428194,20.0538,0.1187,zg
58726.428646,20.0842,0.1211,zg
58727.385486,20.0769,0.0923,zg
58730.306192,20.0475,0.0903,zg
58730.307095,19.9256,0.0824,zg
58730.389896,19.3438,0.0628,zr
58730.391713,19.2926,0.0604,zr
58732.388553,20.0814,0.0926,zg
58733.382812,19.3496,0.0631,zr
58733.388877,19.3310,0.0622,zr
58734.371516,19.3440,0.0628,zr
58734.390579,20.0171,0.0883,zg
58734.496366,19.9687,0.1120,zg
58735.160556,19.3573,0.0635,zr
58735.161007,19.1386,0.0539,zr
58735.193530,19.4016,0.0656,zr
58735.198356,19.3458,0.0629,zr
58735.211285,19.3381,0.0625,zr
58735.389595,19.3964,0.0654,zr
58735.406377,20.2396,0.1043,zg
58736.404919,19.2691,0.0594,zr
58736.414190,19.3451,0.0629,zr
58736.447049,20.2175,0.1026,zg
58736.449792,19.9658,0.0849,zg
58737.190532,19.4017,0.0656,zr
58737.190984,19.2938,0.0605,zr
58737.245856,19.4392,0.0675,zr
58737.256007,19.3841,0.0648,zr
58737.263264,19.2719,0.0595,zr
58737.266840,19.3133,0.0614,zr
58737.275579,19.4129,0.0662,zr
58737.323414,19.2075,0.0567,zr
58737.443692,19.8877,0.1058,zg
58737.472373,20.3408,0.1125,zg
58738.166667,19.2599,0.0590,zr
58738.266609,19.3808,0.0646,zr
58738.267060,19.2729,0.0596,zr
58738.273241,19.4345,0.0673,zr
58738.276204,19.2272,0.0576,zr
58738.287396,19.4397,0.0675,zr
58738.312002,19.3510,0.0632,zr
58738.324097,19.3171,0.0616,zr
58738.324549,19.2682,0.0593,zr
58739.165567,19.3325,0.0623,zr
58739.198333,19.8262,0.0764,zg
58739.255301,19.3490,0.0631,zr
58739.255752,19.2333,0.0578,zr
58739.274896,19.3641,0.0638,zr
58739.275891,19.4190,0.0665,zr
58739.299005,19.2871,0.0602,zr
58739.311377,19.3677,0.0640,zr
58739.313113,19.3643,0.0638,zr
58739.332222,19.4669,0.0689,zr
58739.332674,19.6754,0.0808,zr
58739.371771,19.5501,0.0728,zr
58739.372222,19.3969,0.0649,zr
58740.198102,19.8046,0.0752,zg
58740.275035,19.4811,0.0697,zr
58740.275486,19.3964,0.0654,zr
58740.300660,19.2290,0.0576,zr
58740.306516,19.3496,0.0631,zr
58740.306968,19.2935,0.0605,zr
58740.329595,19.3697,0.0641,zr
58740.330046,19.4133,0.0662,zr
58740.339282,19.2595,0.0590,zr
58740.364387,19.1969,0.0559,zr
58740.364838,19.3901,0.0646,zr
58741.194977,19.8811,0.0797,zg
58741.252488,19.2934,0.0605,zr
58741.252928,19.7539,0.0857,zr
58741.283102,19.3452,0.0629,zr
58741.286238,19.1778,0.0555,zr
58741.291481,19.3424,0.0628,zr
58741.294271,19.6252,0.0777,zr
58741.332292,19.2246,0.0574,zr
58741.332743,19.3424,0.0627,zr
58741.371516,19.2333,0.0574,zr
58741.371968,19.3618,0.0632,zr
58743.166551,19.4624,0.0687,zr
58743.195544,20.2201,0.1028,zg
58743.265139,19.3924,0.0652,zr
