t_days,flux,flux_err
2676.21,0.0517463,0.0102425
2680.32,0.0490904,0.0100634
2687.29,0.168228,0.016493
2691.01,0.0379007,0.00922418
2693.67,0.0624026,0.00949666
2694.79,0.0296023,0.0100154
2695.66,0.0604058,0.00979234
2696.66,0.0617522,0.00946714
2697.05,0.03282,0.00895435
2701.76,0.0407312,0.00818407
2702.17,0.0340056,0.0069436
2708.54,0.0635623,0.010148
2711.06,0.0565573,0.0136804
2712.18,0.0386853,0.009234
2713.52,0.0508635,0.00917042
2714.31,0.0335073,0.00908497
2720.01,0.0511169,0.0228163
2726.99,0.0581091,0.00874832
2727.33,0.0441993,0.00988575
2730.85,0.0324976,0.00800701
2736.29,0.0295166,0.00865073
2847.41,0.0378185,0.00952042
2848.4,0.0501393,0.0117334
2856.3,0.0392724,0.00891073
2861.89,0.0580568,0.0138667
2864.67,0.0450303,0.00868738
2871.77,0.0587984,0.0138831
2878.95,0.0464001,0.00830677
2879.74,0.0356921,0.00823022
2885.65,0.0504853,0.00817934
2887.63,0.0348773,0.00827667
2893.28,0.0359188,0.00807927
2894.01,0.034788,0.00931188
2902.77,0.0448672,0.00929091
2905.7,0.0523562,0.0125591
2915.05,0.0543699,0.0100981
2916.99,0.0402759,0.00894479
2933.37,0.0340658,0.00783072
2936.49,0.0578831,0.0150905
2937.73,0.0378932,0.0079792
2939.82,0.0353627,0.0119893
2941.14,0.0296286,0.00770857
2943.46,0.045298,0.00923036
2945.66,0.0200752,0.0089316
2950.16,0.0648013,0.0111721
2954.68,0.0509895,0.00993014
2957.81,0.0871927,0.0146186
2963.77,0.0488432,0.00811227
2977.39,0.0400674,0.00850123
2983.76,0.0636967,0.0127448
2988.44,0.028574,0.0123311
2996.76,0.0486417,0.00976915
2999.42,0.0607978,0.0101154
3000.95,0.0449098,0.00802309
3001.89,0.0464379,0.00943918
3011.91,0.0458756,0.00853986
3015.56,0.0555205,0.0100484
3016.97,0.0600142,0.0161559
3017.88,0.0997382,0.0202849
3020.72,0.0359566,0.00978353
3022.35,0.0373212,0.00907125
3031.09,0.0506099,0.0111398
3037.51,0.0377373,0.00924797
3039.45,0.038571,0.00865667
3040.45,1.47248,0.139539
3041.83,0.0470083,0.00909404
